BattingShots,
Stance,
Backlift,
Defence,
Forward defence,
Backward defence,
Glance,
Leg glance,
Drive,
Off drive,
Straight drive,
On drive,
Square drive,
Loft,
Lofted drive,
Flick,
Cut,
Square cut,
Late cut,
Pull,
Hook,
Sweep,
Reverse sweep,
Slog,
Slog sweep,
Upper cut,
Switch hit,
Scoop,
Helicopter shot,
Four,
Boundary,
Six,
